"project_id","client_id","title","description","budget","deadline","posted_at","status"
"f6c43c7d-e","85d3d266-8","Social Media Content Creation","This project focuses on social media content creation with a detailed plan.","5741.34","2025-07-02","2025-03-07 08:46:43.433746","in progress"
"ef2fc250-d","85d3d266-8","Custom CRM Development","This project focuses on custom crm development with a detailed plan.","4012.41","2025-10-24","2025-03-07 08:46:43.433746","cancelled"
"69bbd78f-4","85d3d266-8","AI Chatbot Development","This project focuses on ai chatbot development with a detailed plan.","2713.56","2025-04-11","2025-03-07 08:46:43.433746","open"
"c5afd464-b","85d3d266-8","Mobile App UI/UX Design","This project focuses on mobile app ui/ux design with a detailed plan.","9992.84","2025-06-13","2025-03-07 08:46:43.433746","completed"
"13cca556-0","5ab8682f-f","Financial Consulting Services","This project focuses on financial consulting services with a detailed plan.","2682.44","2025-07-03","2025-03-07 08:46:43.433746","in progress"
"954c99c1-5","5ab8682f-f","Logo and Branding Package","This project focuses on logo and branding package with a detailed plan.","6598.15","2025-06-03","2025-03-07 08:46:43.433746","completed"
"8bf7ffae-7","5ab8682f-f","Custom CRM Development","This project focuses on custom crm development with a detailed plan.","3102.43","2025-02-28","2025-03-07 08:46:43.433746","open"
"a5061c4c-4","f2c0020c-c","Data Analysis and Reporting","This project focuses on data analysis and reporting with a detailed plan.","4971.09","2025-03-16","2025-03-07 08:46:43.433746","cancelled"
"cb2f9e3b-5","f2c0020c-c","Social Media Content Creation","This project focuses on social media content creation with a detailed plan.","8299.08","2025-02-05","2025-03-07 08:46:43.433746","in progress"
"ebf993ce-f","33a852b0-2","SEO Optimization Project","This project focuses on seo optimization project with a detailed plan.","9616.80","2025-02-13","2025-03-07 08:46:43.433746","open"
"328091e9-b","33a852b0-2","E-commerce Website Development","This project focuses on e-commerce website development with a detailed plan.","4442.68","2025-11-01","2025-03-07 08:46:43.433746","completed"
"11e21218-a","33a852b0-2","Social Media Content Creation","This project focuses on social media content creation with a detailed plan.","3235.84","2025-02-20","2025-03-07 08:46:43.433746","in progress"
"37cc0369-0","33a852b0-2","Social Media Content Creation","This project focuses on social media content creation with a detailed plan.","9324.13","2025-06-04","2025-03-07 08:46:43.433746","open"
"7f95f7cd-0","33a852b0-2","Marketing Campaign Strategy","This project focuses on marketing campaign strategy with a detailed plan.","6943.47","2025-05-13","2025-03-07 08:46:43.433746","cancelled"
"a3b6141c-3","ec98e132-3","Custom CRM Development","This project focuses on custom crm development with a detailed plan.","7003.70","2025-03-03","2025-03-07 08:46:43.433746","completed"
"2240d6f4-a","64ef70fd-9","E-commerce Website Development","This project focuses on e-commerce website development with a detailed plan.","4595.02","2025-02-01","2025-03-07 08:46:43.433746","completed"
"2f65a58a-8","64ef70fd-9","E-commerce Website Development","This project focuses on e-commerce website development with a detailed plan.","8427.22","2025-06-01","2025-03-07 08:46:43.433746","completed"
"01175b8a-d","64ef70fd-9","SEO Optimization Project","This project focuses on seo optimization project with a detailed plan.","7678.68","2025-11-04","2025-03-07 08:46:43.433746","completed"
"6f73b41a-a","00dfcc73-8","Financial Consulting Services","This project focuses on financial consulting services with a detailed plan.","4474.03","2025-01-28","2025-03-07 08:46:43.433746","in progress"
"5a45db62-0","00dfcc73-8","Marketing Campaign Strategy","This project focuses on marketing campaign strategy with a detailed plan.","9674.07","2025-04-23","2025-03-07 08:46:43.433746","open"
"2fe474d7-c","00dfcc73-8","AI Chatbot Development","This project focuses on ai chatbot development with a detailed plan.","7118.93","2025-11-09","2025-03-07 08:46:43.433746","open"
"7001f7c2-b","00dfcc73-8","Mobile App UI/UX Design","This project focuses on mobile app ui/ux design with a detailed plan.","1311.04","2025-07-13","2025-03-07 08:46:43.433746","open"
"38aa9860-0","00dfcc73-8","Social Media Content Creation","This project focuses on social media content creation with a detailed plan.","4619.52","2025-02-03","2025-03-07 08:46:43.433746","completed"
"6ee9796a-9","8d3ea35c-5","SEO Optimization Project","This project focuses on seo optimization project with a detailed plan.","2486.77","2025-03-05","2025-03-07 08:46:43.433746","in progress"
"430d5618-1","8d3ea35c-5","Data Analysis and Reporting","This project focuses on data analysis and reporting with a detailed plan.","8043.81","2025-03-16","2025-03-07 08:46:43.433746","completed"
"a9e02700-6","1db815ce-b","Mobile App UI/UX Design","This project focuses on mobile app ui/ux design with a detailed plan.","6227.76","2025-02-26","2025-03-07 08:46:43.433746","cancelled"
"a809638f-6","e8d099d0-4","Mobile App UI/UX Design","This project focuses on mobile app ui/ux design with a detailed plan.","8760.79","2025-02-25","2025-03-07 08:46:43.433746","in progress"
"a5bf217f-e","e8d099d0-4","Marketing Campaign Strategy","This project focuses on marketing campaign strategy with a detailed plan.","1932.68","2025-12-21","2025-03-07 08:46:43.433746","in progress"
"389bd1a6-6","e8d099d0-4","Financial Consulting Services","This project focuses on financial consulting services with a detailed plan.","5227.26","2025-12-24","2025-03-07 08:46:43.433746","cancelled"
"1f84616d-d","e8d099d0-4","Logo and Branding Package","This project focuses on logo and branding package with a detailed plan.","3446.56","2025-08-07","2025-03-07 08:46:43.433746","open"
"4a787da0-2","e8d099d0-4","Marketing Campaign Strategy","This project focuses on marketing campaign strategy with a detailed plan.","8906.66","2025-11-08","2025-03-07 08:46:43.433746","open"
"479ac108-b","4b3b511e-d","Financial Consulting Services","This project focuses on financial consulting services with a detailed plan.","8276.90","2025-03-02","2025-03-07 08:46:43.433746","in progress"
"79a47fc2-e","4b3b511e-d","Logo and Branding Package","This project focuses on logo and branding package with a detailed plan.","1752.07","2025-05-16","2025-03-07 08:46:43.433746","cancelled"
"97011d77-0","069a70ab-d","SEO Optimization Project","This project focuses on seo optimization project with a detailed plan.","3763.32","2025-02-15","2025-03-07 08:46:43.433746","open"
"1a3ea7d1-e","069a70ab-d","Logo and Branding Package","This project focuses on logo and branding package with a detailed plan.","9905.38","2025-01-25","2025-03-07 08:46:43.433746","cancelled"
"fb2baf50-3","560e8773-6","Financial Consulting Services","This project focuses on financial consulting services with a detailed plan.","6080.21","2025-07-21","2025-03-07 08:46:43.433746","open"
"69b20ff3-a","cadcacbd-7","Mobile App UI/UX Design","This project focuses on mobile app ui/ux design with a detailed plan.","2631.50","2025-08-27","2025-03-07 08:46:43.433746","cancelled"
"2d3dd431-9","cadcacbd-7","Logo and Branding Package","This project focuses on logo and branding package with a detailed plan.","3623.85","2025-08-24","2025-03-07 08:46:43.433746","cancelled"
"5e4c4643-4","47b7b97c-e","Marketing Campaign Strategy","This project focuses on marketing campaign strategy with a detailed plan.","2741.07","2025-10-22","2025-03-07 08:46:43.433746","completed"
"02d46ec5-2","2d587ae5-8","Custom CRM Development","This project focuses on custom crm development with a detailed plan.","538.82","2025-04-24","2025-03-07 08:46:43.433746","open"
"26784c78-6","2d587ae5-8","AI Chatbot Development","This project focuses on ai chatbot development with a detailed plan.","4526.03","2025-05-15","2025-03-07 08:46:43.433746","open"
"9c051acd-a","37e2bc86-5","Mobile App UI/UX Design","This project focuses on mobile app ui/ux design with a detailed plan.","3415.02","2025-08-01","2025-03-07 08:46:43.433746","in progress"
"503a120b-e","37e2bc86-5","Social Media Content Creation","This project focuses on social media content creation with a detailed plan.","3708.89","2025-12-11","2025-03-07 08:46:43.433746","open"
"50d38286-a","37e2bc86-5","AI Chatbot Development","This project focuses on ai chatbot development with a detailed plan.","956.44","2025-11-19","2025-03-07 08:46:43.433746","in progress"
"96d23546-3","a28733c4-a","E-commerce Website Development","This project focuses on e-commerce website development with a detailed plan.","1600.40","2025-03-11","2025-03-07 08:46:43.433746","completed"
"903e5977-f","a28733c4-a","SEO Optimization Project","This project focuses on seo optimization project with a detailed plan.","3394.53","2025-05-19","2025-03-07 08:46:43.433746","in progress"
"718b6241-3","597f9109-4","Mobile App UI/UX Design","This project focuses on mobile app ui/ux design with a detailed plan.","7408.27","2025-03-16","2025-03-07 08:46:43.433746","open"
"01acd2fc-c","597f9109-4","Data Analysis and Reporting","This project focuses on data analysis and reporting with a detailed plan.","7195.47","2025-10-19","2025-03-07 08:46:43.433746","cancelled"
